dataset,metric,model,value
m1_monthly,mae,timesfm_icf,8403.162444901467
m1_monthly,mase,timesfm_icf,1.377210726737976
m1_monthly,smape,timesfm_icf,0.11437514093381945
m1_monthly,time,timesfm_icf,2.546520948410034
m1_quarterly,mae,timesfm_icf,9124.806000195742
m1_quarterly,mase,timesfm_icf,1.6889314478635788
m1_quarterly,smape,timesfm_icf,0.11146385075302322
m1_quarterly,time,timesfm_icf,1.1673409938812256
m4_quarterly,mae,timesfm_icf,227.04073822021485
m4_quarterly,mase,timesfm_icf,1.5395762503147126
m4_quarterly,smape,timesfm_icf,0.022893615876816792
m4_quarterly,time,timesfm_icf,1.1171886920928955
m4_yearly,mae,timesfm_icf,598.1511968231201
m4_yearly,mase,timesfm_icf,6.112138337492943
m4_yearly,smape,timesfm_icf,0.06917627441346455
m4_yearly,time,timesfm_icf,1.1211059093475342
tourism_monthly,mae,timesfm_icf,7056.031358642578
tourism_monthly,mase,timesfm_icf,1.6327306514978408
tourism_monthly,smape,timesfm_icf,0.07880940052144862
tourism_monthly,time,timesfm_icf,1.118196964263916
tourism_quarterly,mae,timesfm_icf,16432.049699134826
tourism_quarterly,mase,timesfm_icf,2.171191160082817
tourism_quarterly,smape,timesfm_icf,0.08329739110272877
tourism_quarterly,time,timesfm_icf,1.094728946685791
nn5_daily_without_missing,mae,timesfm_icf,4.88432590007782
nn5_daily_without_missing,mase,timesfm_icf,1.1165909957885742
nn5_daily_without_missing,smape,timesfm_icf,0.13791010692626685
nn5_daily_without_missing,time,timesfm_icf,5.76845908164978
traffic,mae,timesfm_icf,0.023952027428895236
traffic,mase,timesfm_icf,1.5849415850639343
traffic,smape,timesfm_icf,0.24014844396337354
traffic,time,timesfm_icf,5.763807058334351
weather,mae,timesfm_icf,1.0982775089144707
weather,mase,timesfm_icf,0.2627768443524838
weather,smape,timesfm_icf,0.9315531843925817
weather,time,timesfm_icf,6.380588054656982
australian_electricity_demand,mae,timesfm_icf,393.33480377197264
australian_electricity_demand,mase,timesfm_icf,1.8444751977920533
australian_electricity_demand,smape,timesfm_icf,0.07849029538109756
australian_electricity_demand,time,timesfm_icf,3.8136909008026123
cif_2016,mae,timesfm_icf,87.29046076640486
cif_2016,mase,timesfm_icf,1.4650790402293206
cif_2016,smape,timesfm_icf,0.04994251996060553
cif_2016,time,timesfm_icf,1.487065076828003
covid_deaths,mae,timesfm_icf,565.4908455982804
covid_deaths,mase,timesfm_icf,8.030885790785154
covid_deaths,smape,timesfm_icf,0.08964194918759961
covid_deaths,time,timesfm_icf,1.1156501770019531
exchange_rate,mae,timesfm_icf,0.010941818185528973
exchange_rate,mase,timesfm_icf,2.0964745357632637
exchange_rate,smape,timesfm_icf,0.006513843880624631
exchange_rate,time,timesfm_icf,2.6694979667663574
fred_md,mae,timesfm_icf,779.750286989808
fred_md,mase,timesfm_icf,0.5823008677363396
fred_md,smape,timesfm_icf,0.019629732446654443
fred_md,time,timesfm_icf,5.266327857971191
