dataset,metric,model,value
m1_monthly,mae,timesfm_icf,5571.834206441641
m1_monthly,mase,timesfm_icf,1.3604989996552468
m1_monthly,smape,timesfm_icf,0.09978823174517566
m1_monthly,time,timesfm_icf,6.738268852233887
m1_quarterly,mae,timesfm_icf,4867.645477691889
m1_quarterly,mase,timesfm_icf,1.896459719836712
m1_quarterly,smape,timesfm_icf,0.0970938290548553
m1_quarterly,time,timesfm_icf,7.159437894821167
m4_quarterly,mae,timesfm_icf,220.6140773010254
m4_quarterly,mase,timesfm_icf,1.3355756841599942
m4_quarterly,smape,timesfm_icf,0.021470324954730256
m4_quarterly,time,timesfm_icf,17.911016941070557
m4_yearly,mae,timesfm_icf,1209.6357895851136
m4_yearly,mase,timesfm_icf,5.646359062194824
m4_yearly,smape,timesfm_icf,0.08099986503721537
m4_yearly,time,timesfm_icf,16.25567388534546
tourism_monthly,mae,timesfm_icf,4754.700713424682
tourism_monthly,mase,timesfm_icf,1.9490244653820992
tourism_monthly,smape,timesfm_icf,0.09464587025090443
tourism_monthly,time,timesfm_icf,6.124358892440796
tourism_quarterly,mae,timesfm_icf,42451.07569568634
tourism_quarterly,mase,timesfm_icf,2.0130169826745985
tourism_quarterly,smape,timesfm_icf,0.07870977674984758
tourism_quarterly,time,timesfm_icf,7.893689870834351
nn5_daily_without_missing,mae,timesfm_icf,4.433463909626007
nn5_daily_without_missing,mase,timesfm_icf,1.03680329144001
nn5_daily_without_missing,smape,timesfm_icf,0.13294604959453435
nn5_daily_without_missing,time,timesfm_icf,99.81835913658142
australian_electricity_demand,mae,timesfm_icf,376.78880310058594
australian_electricity_demand,mase,timesfm_icf,1.8368295907974244
australian_electricity_demand,smape,timesfm_icf,0.07862437290302107
australian_electricity_demand,time,timesfm_icf,27.315468072891235
cif_2016,mae,timesfm_icf,774720.614148434
cif_2016,mase,timesfm_icf,1.273694500534071
cif_2016,smape,timesfm_icf,0.08771983997619912
cif_2016,time,timesfm_icf,11.926687955856323
covid_deaths,mae,timesfm_icf,341.16412338385356
covid_deaths,mase,timesfm_icf,6.580619340998003
covid_deaths,smape,timesfm_icf,0.06698769202390797
covid_deaths,time,timesfm_icf,6.208687782287598
exchange_rate,mae,timesfm_icf,0.009866148457149393
exchange_rate,mase,timesfm_icf,2.419716037809849
exchange_rate,smape,timesfm_icf,0.005933352506083378
exchange_rate,time,timesfm_icf,6.994920969009399
fred_md,mae,timesfm_icf,1769.1222528317571
fred_md,mase,timesfm_icf,0.819805402457714
fred_md,smape,timesfm_icf,0.07050947529416052
fred_md,time,timesfm_icf,95.11956715583801
